url	source_name	name	form	rig
https://jaytiss.squig.link/data/Rhap%20DDDD%20R.txt		CCA Rhapsody (off-off-off-off)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DDDU%20L.txt		CCA Rhapsody (off-off-off-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DDDU%20R.txt		CCA Rhapsody (off-off-off-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DDUU%20L.txt		CCA Rhapsody (off-off-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DDUU%20R.txt		CCA Rhapsody (off-off-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DUUU%20L.txt		CCA Rhapsody (off-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20DUUU%20R.txt		CCA Rhapsody (off-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20UUUU%20L.txt	CCA Rhapsody UUUU	CCA Rhapsody (on-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Rhap%20UUUU%20R.txt	CCA Rhapsody UUUU	CCA Rhapsody (on-on-on-on)	in-ear	711
https://jaytiss.squig.link/data/Trio%20L.txt	CCA Trio	CCA Trio	in-ear	711
https://jaytiss.squig.link/data/Trio%20R.txt	CCA Trio	CCA Trio	in-ear	711
https://jaytiss.squig.link/data/1DD4BA%20L.txt	CKLVX 1DD+4BA	CKLVX 1DD+4BA	in-ear	711
https://jaytiss.squig.link/data/1DD4BA%20R.txt	CKLVX 1DD+4BA	CKLVX 1DD+4BA	in-ear	711
https://jaytiss.squig.link/data/CvjAria%20L.txt	CVJ Aria  	CVJ Aria	in-ear	711
https://jaytiss.squig.link/data/CvjAria%20R.txt	CVJ Aria  	CVJ Aria	in-ear	711
https://jaytiss.squig.link/data/CvjAria%2030%20L.txt	CVJ Aria 30 ohm	CVJ Aria 30 ohm	ignore	711
https://jaytiss.squig.link/data/CvjAria%2030%20R.txt	CVJ Aria 30 ohm	CVJ Aria 30 ohm	ignore	711
https://jaytiss.squig.link/data/CvjShadowblade%20black%20L.txt	CVJ Shadowblade Black	CVJ ShadowBlade (black nozzle)	in-ear	711
https://jaytiss.squig.link/data/CvjShadowblade%20black%20R.txt	CVJ Shadowblade Black	CVJ ShadowBlade (black nozzle)	in-ear	711
https://jaytiss.squig.link/data/CvjShadowblade%20Gold%20L.txt	CVJ Shadowblade Gold	CVJ ShadowBlade (gold nozzle)	in-ear	711
https://jaytiss.squig.link/data/CvjShadowblade%20Gold%20R.txt	CVJ Shadowblade Gold	CVJ ShadowBlade (gold nozzle)	in-ear	711
https://jaytiss.squig.link/data/CvjShadowblade%20Silver%20L.txt	CVJ Shadowblade  	CVJ Shadowblade	in-ear	711
https://jaytiss.squig.link/data/CvjShadowblade%20Silver%20R.txt	CVJ Shadowblade  	CVJ Shadowblade	in-ear	711
https://jaytiss.squig.link/data/AlienBrain%20L.txt	Campfire Alien Brain	Campfire Audio Alien Brain	in-ear	711
https://jaytiss.squig.link/data/AlienBrain%20R.txt	Campfire Alien Brain	Campfire Audio Alien Brain	in-ear	711
https://jaytiss.squig.link/data/Astrolith%20L.txt	Campfire Astrolith	Campfire Audio Astrolith	in-ear	711
https://jaytiss.squig.link/data/Astrolith%20R.txt	Campfire Astrolith	Campfire Audio Astrolith	in-ear	711
https://jaytiss.squig.link/data/Axiom2%20L.txt	Campfire Axion v2	Campfire Audio Axion v2	in-ear	711
https://jaytiss.squig.link/data/Axiom2%20R.txt	Campfire Axion v2	Campfire Audio Axion v2	in-ear	711
https://jaytiss.squig.link/data/Bonneville%20L.txt	Campfire Bonneville	Campfire Audio Bonneville	in-ear	711
https://jaytiss.squig.link/data/Bonneville%20R.txt	Campfire Bonneville	Campfire Audio Bonneville	in-ear	711
https://jaytiss.squig.link/data/Moonrover%20L.txt	Campfire Moon Rover	Campfire Audio Moon Rover	in-ear	711
https://jaytiss.squig.link/data/Moonrover%20R.txt	Campfire Moon Rover	Campfire Audio Moon Rover	in-ear	711
https://jaytiss.squig.link/data/Trifecta%20L.txt	Campfire Trifecta	Campfire Audio Trifecta	in-ear	711
https://jaytiss.squig.link/data/Trifecta%20R.txt	Campfire Trifecta	Campfire Audio Trifecta	in-ear	711
https://jaytiss.squig.link/data/622B%20L.txt	Canpur 622B	Canpur CP622B	in-ear	711
https://jaytiss.squig.link/data/622B%20R.txt	Canpur 622B	Canpur CP622B	in-ear	711
https://jaytiss.squig.link/data/Omnium%20L.txt	Craft Ears Omnium	Craft Ears Omnium	in-ear	711
https://jaytiss.squig.link/data/Omnium%20R.txt	Craft Ears Omnium	Craft Ears Omnium	in-ear	711
https://jaytiss.squig.link/data/CrinearsMeta%20L.txt	Crinears Meta	CrinEar Meta	in-ear	711
https://jaytiss.squig.link/data/CrinearsMeta%20R.txt	Crinears Meta	CrinEar Meta	in-ear	711
https://jaytiss.squig.link/data/Fibae%205%20L.txt	Custom Art Fibae 5	Custom Art Fibae 5	in-ear	711
https://jaytiss.squig.link/data/Fibae%205%20R.txt	Custom Art Fibae 5	Custom Art Fibae 5	in-ear	711
https://jaytiss.squig.link/data/DK3001%20L.txt	DUNU DK3001 BD 	DUNU DK3001 BD	in-ear	711
https://jaytiss.squig.link/data/DK3001%20R.txt	DUNU DK3001 BD 	DUNU DK3001 BD	in-ear	711
https://jaytiss.squig.link/data/DK3001%20220%20L.txt	DUNU DK3001 BD 220 ohms	DUNU DK3001 BD 220 ohms	ignore	711
https://jaytiss.squig.link/data/DK3001%20220%20R.txt	DUNU DK3001 BD 220 ohms	DUNU DK3001 BD 220 ohms	ignore	711
https://jaytiss.squig.link/data/DK3001%20Wayne%20L.txt	DUNU DK3001 BD 300 ohms	DUNU DK3001 BD 300 ohms	ignore	711
https://jaytiss.squig.link/data/DK3001%20Wayne%20R.txt	DUNU DK3001 BD 300 ohms	DUNU DK3001 BD 300 ohms	ignore	711
https://jaytiss.squig.link/data/DK3001%2080%20L.txt	DUNU DK3001 BD 80 ohms	DUNU DK3001 BD 80 ohms	ignore	711
https://jaytiss.squig.link/data/DK3001%2080%20R.txt	DUNU DK3001 BD 80 ohms	DUNU DK3001 BD 80 ohms	ignore	711
https://jaytiss.squig.link/data/EST%20112%20L.txt	DUNU EST 112	DUNU EST 112	in-ear	711
https://jaytiss.squig.link/data/EST%20112%20R.txt	DUNU EST 112	DUNU EST 112	in-ear	711
https://jaytiss.squig.link/data/Falcon%20Ultra%20L.txt	DUNU Falcon Ultra	DUNU Falcon Ultra	in-ear	711
https://jaytiss.squig.link/data/Falcon%20Ultra%20R.txt	DUNU Falcon Ultra	DUNU Falcon Ultra	in-ear	711
https://jaytiss.squig.link/data/Glacier%20L.txt	DUNU Glacier	DUNU Glacier	in-ear	711
https://jaytiss.squig.link/data/Glacier%20R.txt	DUNU Glacier	DUNU Glacier	in-ear	711
https://jaytiss.squig.link/data/Kima%202%20L.txt	DUNU Kima 2	DUNU Kima 2	in-ear	711
https://jaytiss.squig.link/data/Kima%202%20R.txt	DUNU Kima 2	DUNU Kima 2	in-ear	711
https://jaytiss.squig.link/data/Mirai%20L.txt	DUNU Mirai	DUNU Mirai	in-ear	711
https://jaytiss.squig.link/data/Mirai%20R.txt	DUNU Mirai	DUNU Mirai	in-ear	711
https://jaytiss.squig.link/data/Dunu%20SA6%20MKII%20L.txt	Dunu SA6 MKII 	DUNU SA6 MK2	in-ear	711
https://jaytiss.squig.link/data/Dunu%20SA6%20MKII%20R.txt	Dunu SA6 MKII 	DUNU SA6 MK2	in-ear	711
https://jaytiss.squig.link/data/Talos%20L.txt	DUNU Talos	DUNU Talos	in-ear	711
https://jaytiss.squig.link/data/Talos%20R.txt	DUNU Talos	DUNU Talos	in-ear	711
https://jaytiss.squig.link/data/Titan%20S2%20L.txt	DUNU Titan S2	DUNU Titan S2	in-ear	711
https://jaytiss.squig.link/data/Titan%20S2%20R.txt	DUNU Titan S2	DUNU Titan S2	in-ear	711
https://jaytiss.squig.link/data/Vulkan%20L.txt	DUNU Vulkan	DUNU Vulkan	in-ear	711
https://jaytiss.squig.link/data/Vulkan%20R.txt	DUNU Vulkan	DUNU Vulkan	in-ear	711
https://jaytiss.squig.link/data/Vulcan%20L.txt		DUNU Vulkan	in-ear	711
https://jaytiss.squig.link/data/Vulcan%20R.txt		DUNU Vulkan	in-ear	711
https://jaytiss.squig.link/data/Vulkan2%20L.txt	DUNU Vulkan 2 	DUNU Vulkan 2	in-ear	711
https://jaytiss.squig.link/data/Vulkan2%20R.txt	DUNU Vulkan 2 	DUNU Vulkan 2	in-ear	711
https://jaytiss.squig.link/data/Vulkan2adapter%20L.txt	DUNU Vulkan 2 80 ohms	DUNU Vulkan 2 80 ohms	ignore	711
https://jaytiss.squig.link/data/Vulkan2adapter%20R.txt	DUNU Vulkan 2 80 ohms	DUNU Vulkan 2 80 ohms	ignore	711
https://jaytiss.squig.link/data/DaVinci%20L.txt	DUNU x Gizaudio DaVinci	DUNU x Gizaudio DaVinci	in-ear	711
https://jaytiss.squig.link/data/DaVinci%20R.txt	DUNU x Gizaudio DaVinci	DUNU x Gizaudio DaVinci	in-ear	711
https://jaytiss.squig.link/data/Delta%20L.txt	Delta Airlines Studio Billboard Earbuds	Delta Airlines Studio Billboard Earbuds	ignore	711
https://jaytiss.squig.link/data/Delta%20R.txt	Delta Airlines Studio Billboard Earbuds	Delta Airlines Studio Billboard Earbuds	ignore	711
https://jaytiss.squig.link/data/Dream%20L.txt	Dita Dream XLS	Dita Audio Dream XLS	in-ear	711
https://jaytiss.squig.link/data/Dream%20R.txt	Dita Dream XLS	Dita Audio Dream XLS	in-ear	711
https://jaytiss.squig.link/data/Mecha%20L.txt	Dita Mecha	Dita Audio Mecha	in-ear	711
https://jaytiss.squig.link/data/Mecha%20R.txt	Dita Mecha	Dita Audio Mecha	in-ear	711
https://jaytiss.squig.link/data/ProjectM%20L.txt	Dita Project M	Dita Audio Project M	in-ear	711
https://jaytiss.squig.link/data/ProjectM%20R.txt	Dita Project M	Dita Audio Project M	in-ear	711
https://jaytiss.squig.link/data/Diva%20Whiite%20R.txt		Diva Whiite	ignore	711
https://jaytiss.squig.link/data/Darkphoenix%20L.txt		ELISE AUDIO x Kinera Dark Phoenix	in-ear	711
https://jaytiss.squig.link/data/Darkphoenix%20R.txt		ELISE AUDIO x Kinera Dark Phoenix	in-ear	711
https://jaytiss.squig.link/data/Darkphn%20L.txt	Kinera Celest x ELISE Dark Phoenix	ELISE AUDIO x Kinera Dark Phoenix	in-ear	711
https://jaytiss.squig.link/data/Darkphn%20R.txt	Kinera Celest x ELISE Dark Phoenix	ELISE AUDIO x Kinera Dark Phoenix	in-ear	711
https://jaytiss.squig.link/data/530%20L.txt	EPZ 530	EPZ 530	in-ear	711
https://jaytiss.squig.link/data/530%20R.txt	EPZ 530	EPZ 530	in-ear	711
https://jaytiss.squig.link/data/EPZP50%20L.txt	EPZ P50	EPZ P50	in-ear	711
https://jaytiss.squig.link/data/EPZP50%20R.txt	EPZ P50	EPZ P50	in-ear	711
https://jaytiss.squig.link/data/q1pro%20L.txt	EPZ Q1 Pro	EPZ Q1 Pro	in-ear	711
https://jaytiss.squig.link/data/q1pro%20R.txt	EPZ Q1 Pro	EPZ Q1 Pro	in-ear	711
https://jaytiss.squig.link/data/Q5%20L.txt	EPZ Q5	EPZ Q5	in-ear	711
https://jaytiss.squig.link/data/Q5%20R.txt	EPZ Q5	EPZ Q5	in-ear	711
https://jaytiss.squig.link/data/Q5v2%20L.txt	EPZ Q5 v2	EPZ Q5 v2	in-ear	711
https://jaytiss.squig.link/data/Q5v2%20R.txt	EPZ Q5 v2	EPZ Q5 v2	in-ear	711
https://jaytiss.squig.link/data/Tipsy%20L.txt	EPZ EPZ x Tipsy Star One	EPZ x Tipsy Star & One	in-ear	711
https://jaytiss.squig.link/data/Tipsy%20R.txt	EPZ EPZ x Tipsy Star One	EPZ x Tipsy Star & One	in-ear	711
https://jaytiss.squig.link/data/HiendMax%20L.txt	EarAcoustic Audio Hiend Max	EarAcoustic Audio SPA Hi-End Max	in-ear	711
https://jaytiss.squig.link/data/HiendMax%20R.txt	EarAcoustic Audio Hiend Max	EarAcoustic Audio SPA Hi-End Max	in-ear	711
https://jaytiss.squig.link/data/Noir2%20L.txt		Effect Audio	ignore	711
https://jaytiss.squig.link/data/Noir2%20R.txt		Effect Audio	ignore	711
